
Devices
1500
,,Myon - Voltage,,,,,,,,,,,,,,,,Contrex - Angle,Contrex - Angular Velocity,Contrex - Force,
Frame,Sub Frame,LTibA1,LPer2,LSol3,LGas4,LRec5,LVas6,LHam7,LGlut8,RTibA9,RPer10,RSol11,RGas12,RRec13,RVas14,RHam15,RGlut16,Angle,Angular velocity,Torque
,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,deg,deg/s,N
1,0,3.63159e-05,-1.77002e-05,2.2583e-05,0.000121613,7.47681e-06,7.88879e-05,5.49316e-05,-0.000124359,1.38855e-05,-2.21252e-05,8.08716e-06,3.86047e-05,-9.49097e-05,6.40869e-06,0.000135193,-0.000600128,30.9055,-0.293012,15.4029
1,1,3.61633e-05,-1.64795e-05,2.47192e-05,7.44629e-05,5.95093e-06,6.14929e-05,9.67407e-05,-0.000123138,1.49536e-05,-6.86645e-06,1.02234e-05,6.97327e-05,-0.00023407,4.27246e-06,5.72205e-05,-0.000592499,30.8972,-0.269644,15.4024
1,2,3.09753e-05,-1.40381e-05,1.89209e-05,1.87683e-05,6.40869e-06,7.72095e-05,0.000147552,-0.000118713,-7.17163e-06,0.000102997,5.64575e-06,4.94385e-05,-0.000162811,7.62939e-06,3.2959e-05,-0.000582886,30.8888,-0.246318,15.4017
1,3,2.53296e-05,-1.38855e-05,2.96021e-05,3.32642e-05,7.93457e-06,7.90405e-05,0.00021347,-0.000115662,-3.54004e-05,0.000119324,7.47681e-06,2.22778e-05,-0.000113068,5.18799e-06,-8.88062e-05,-0.000575409,30.8801,-0.223167,15.4006
1,4,2.39563e-05,-1.51062e-05,2.83813e-05,3.00598e-05,6.56128e-06,-1.2207e-05,3.9978e-05,-0.000113373,-7.49207e-05,0.000118561,6.2561e-06,0.000140686,-0.000207672,7.32422e-06,-0.000123138,-0.000567474,30.8713,-0.200314,15.3993
1,5,2.05994e-05,-1.19019e-05,2.83813e-05,2.21252e-05,8.39233e-06,1.00708e-05,-0.0001297,-0.00011322,-3.41797e-05,2.45667e-05,9.15527e-06,0.000150757,-0.00021637,8.08716e-06,-0.000173645,-0.000558624,30.8623,-0.177869,15.3975
1,6,1.78528e-05,-1.52588e-05,3.15857e-05,1.98364e-05,8.23975e-06,1.87683e-05,-5.85937e-05,-0.000110321,3.32642e-05,1.43433e-05,4.27246e-06,6.21033e-05,-0.000284576,8.69751e-06,-0.000129242,-0.000549774,30.8533,-0.155929,15.3953
1,7,1.60217e-05,-1.2207e-05,2.57874e-05,2.63977e-05,6.56128e-06,-3.05176e-06,6.86645e-06,-7.73621e-05,0.000107574,3.41797e-05,1.08337e-05,-5.11169e-05,-0.000183411,8.23975e-06,-4.68445e-05,-0.000543976,30.8442,-0.134578,15.3926
1,8,1.00708e-05,-1.32751e-05,-1.12915e-05,-5.90515e-05,7.62939e-06,-4.45557e-05,0.000116272,4.776e-05,0.000181732,5.88989e-05,7.17163e-06,-4.36401e-05,-0.000185089,6.56128e-06,-2.67029e-05,-0.000535278,30.835,-0.11388,15.3895
